time (s)	coil I (A)	last det (V)	int current (uC)
5832.097234	1.051428	0.568343	448.959839
5832.098247	1.524283	0.568343	1993.058960
5832.099330	1.506138	0.568343	3624.206055
5832.100227	1.466038	0.568343	4939.241699
5832.101120	1.426926	0.568343	6213.486816
5832.102219	0.545592	0.568343	6813.092285
5832.103168	0.096006	0.568343	6904.201660
5832.104030	0.094852	0.568343	6985.964355
5832.105057	0.094900	0.568343	7083.426758
5832.106095	0.094860	0.568343	7181.891113
5832.106984	0.094874	0.568343	7266.234375
5832.107909	0.094863	0.568343	7353.982910
5832.108954	0.094882	0.568343	7453.134277
5832.109897	0.094896	0.568343	7542.621582
5832.110761	0.094849	0.568343	7624.570801
5832.111798	0.094929	0.568343	7723.012207
5833.052198	1.086064	0.526207	569.097778
5833.053144	1.529150	0.526207	2015.674072
5833.054068	1.511968	0.526207	3412.732422
5833.054932	1.473523	0.526207	4685.856445
5833.055945	1.430424	0.526207	6134.875488
5833.056854	0.845925	0.526207	6903.821289
5833.057726	0.107190	0.526207	6997.291016
5833.058638	0.094764	0.526207	7083.716309
5833.059631	0.094852	0.526207	7177.904785
5833.060548	0.094841	0.526207	7264.874023
5833.061426	0.094830	0.526207	7348.135254
5833.062437	0.094885	0.526207	7444.064453
5833.063353	0.094889	0.526207	7530.982910
5833.064273	0.094893	0.526207	7618.284180
5833.065136	0.094933	0.526207	7700.211426
5833.066178	0.094819	0.526207	7799.013184
5834.120174	1.057423	0.579163	489.586914
5834.121100	1.526554	0.579163	1903.175903
5834.121986	1.516223	0.579163	3246.549805
5834.122880	1.477610	0.579163	4567.533203
5834.123822	1.436096	0.579163	5920.335937
5834.124782	0.982350	0.579163	6863.391602
5834.125661	0.120579	0.579163	6969.380371
5834.126595	0.094709	0.579163	7057.838867
5834.127545	0.094801	0.579163	7147.899902
5834.128447	0.094823	0.579163	7233.430176
5834.129323	0.094794	0.579163	7316.469238
5834.130266	0.094808	0.579163	7405.873535
5834.131197	0.094790	0.579163	7494.123047
5834.132111	0.094874	0.579163	7580.837891
5834.132972	0.094819	0.579163	7662.477539
5834.133932	0.094801	0.579163	7753.486328
5835.084725	1.026914	0.603228	431.303894
5835.085777	1.527726	0.603228	2038.471436
5835.086679	1.512334	0.603228	3402.596680
5835.087559	1.473673	0.603228	4699.428711
5835.088484	1.434152	0.603228	6026.019043
5835.089482	0.854725	0.603228	6879.035156
5835.090409	0.104700	0.603228	6976.091797
5835.091284	0.094757	0.603228	7059.004395
5835.092280	0.094904	0.603228	7153.528320
5835.093179	0.094958	0.603228	7238.895996
5835.094083	0.094816	0.603228	7324.609375
5835.094951	0.094922	0.603228	7407.001465
5835.095980	0.094819	0.603228	7504.570312
5835.096872	0.094849	0.603228	7589.175293
5835.097790	0.094863	0.603228	7676.259766
5835.098654	0.094801	0.603228	7758.167969
5836.144092	1.056914	0.549390	475.611298
5836.144963	1.522819	0.549390	1801.986328
5836.145931	1.514960	0.549390	3268.467285
5836.146860	1.474369	0.549390	4638.156250
5836.147788	1.435199	0.549390	5970.020996
5836.148660	1.025002	0.549390	6863.823242
5836.149656	0.117524	0.549390	6980.877441
5836.150584	0.094735	0.549390	7068.791504
5836.151460	0.094849	0.549390	7151.878906
5836.152357	0.094805	0.549390	7236.918945
5836.153284	0.094823	0.549390	7324.819824
5836.154236	0.094761	0.549390	7415.032227
