time (s)	det(V)
6984.096169	-0.114844	
6984.097695	-0.117390	
6984.099295	-0.120963	
6984.100784	-0.125595	
6984.102367	-0.127324	
6984.103900	-0.131715	
6984.105445	-0.136283	
6984.106975	-0.141088	
6984.108488	-0.143876	
6984.110057	-0.149173	
6984.111575	-0.153290	
6984.113155	-0.157282	
6984.114642	-0.160908	
6984.116224	-0.165697	
6984.117746	-0.170290	
6984.119345	-0.173484	
6984.120827	-0.177839	
6984.122394	-0.183563	
6984.123912	-0.188860	
6984.125467	-0.192312	
6984.127015	-0.198782	
6984.128526	-0.203209	
6984.130096	-0.207757	
6984.131616	-0.211870	
6984.133204	-0.217953	
6984.134699	-0.222626	
6984.136283	-0.227375	
6984.137802	-0.232281	
6984.139374	-0.239138	
6984.140903	-0.244544	
6984.142433	-0.248532	
6984.143999	-0.256411	
6984.145521	-0.260866	
6984.147112	-0.265596	
6984.148596	-0.269306	
6984.150195	-0.276017	
6984.151688	-0.279304	
6984.153297	-0.283723	
6984.154788	-0.288259	
6984.156377	-0.293407	
6984.157867	-0.297657	
6984.159441	-0.300014	
6984.160953	-0.305101	
6984.162494	-0.308123	
6984.164048	-0.310701	
6984.165560	-0.312365	
6984.167113	-0.316244	
6984.168607	-0.316751	
6984.170228	-0.319023	
6984.171728	-0.321461	
6984.173341	-0.324204	
6984.174831	-0.324715	
6984.176402	-0.327310	
6984.177907	-0.329296	
6984.179483	-0.330029	
6984.181005	-0.330065	
6984.182544	-0.330734	
6984.184269	-0.333151	
6984.185758	-0.333122	
6984.187551	-0.334847	
6984.189026	-0.337634	
6984.190828	-0.339910	
6984.192305	-0.341292	
6984.194072	-0.344680	
6984.195558	-0.346480	
6984.197318	-0.348728	
6984.198825	-0.351137	
6984.200575	-0.356261	
6984.202088	-0.357204	
6984.203806	-0.361929	
6984.205331	-0.367138	
6984.207045	-0.373172	
6984.208587	-0.377281	
6984.210265	-0.383903	
6984.211820	-0.389736	
6984.213484	-0.395195	
6984.215069	-0.400988	
6984.216729	-0.408960	
6984.218309	-0.415179	
6984.219951	-0.422503	
6984.221547	-0.431345	
6984.223164	-0.440650	
6984.224821	-0.449513	
6984.226400	-0.458133	
6984.228073	-0.468051	
6984.229644	-0.471914	
6984.231322	-0.480595	
6984.232901	-0.490839	
6984.234586	-0.502501	
6984.236152	-0.511795	
6984.237859	-0.523771	
6984.239399	-0.536117	
6984.241101	-0.548767	
6984.242582	-0.558523	
6984.244271	-0.572791	
6984.245758	-0.583769	
6984.247460	-0.595495	
6984.248946	-0.605872	
6984.250625	-0.619617	
6984.252139	-0.629329	
6984.253785	-0.641627	
6984.255331	-0.653680	
6984.256972	-0.666410	
6984.258516	-0.676343	
6984.260108	-0.688356	
6984.261703	-0.699426	
6984.263256	-0.708522	
6984.264888	-0.716888	
6984.266400	-0.725574	
6984.268093	-0.734005	
6984.269564	-0.739584	
6984.271303	-0.746549	
6984.272776	-0.753115	
6984.274488	-0.758598	
6984.275965	-0.760511	
6984.277657	-0.764813	
6984.279139	-0.765784	
6984.280834	-0.764991	
6984.282324	-0.763706	
6984.284028	-0.763464	
6984.285543	-0.759129	
6984.287109	-0.756056	
6984.288664	-0.752813	
6984.290185	-0.748680	
6984.291810	-0.741747	
6984.293305	-0.736680	
6984.294938	-0.729344	
6984.296453	-0.722290	
6984.298100	-0.712562	
6984.299589	-0.705815	
6984.301225	-0.698374	
6984.302711	-0.689653	
6984.304373	-0.680908	
6984.305853	-0.674519	
6984.307482	-0.666982	
6984.308960	-0.658188	
6984.310555	-0.653273	
6984.312083	-0.646477	
6984.313633	-0.639754	
6984.315231	-0.633957	
