time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
7426.352004	198.923233	0.671188	0.100000	217
7428.374456	202.866241	0.746523	0.056405	219
7430.386494	202.463089	0.758582	0.052964	221
7432.398713	202.089661	0.759727	0.052625	223
7434.421041	201.949631	0.758881	0.055524	225
7436.457602	202.048477	0.769241	0.057316	227
7438.494188	201.991653	0.787600	0.057086	229
7440.531581	201.701340	0.807686	0.056849	231
7442.568557	201.478180	0.824805	0.055633	233
7444.598188	201.216309	0.840194	0.054118	235
7446.628503	200.969269	0.853966	0.053861	237
7448.653885	200.802628	0.868280	0.053160	239
7450.680609	200.786789	0.880894	0.053815	241
7452.703447	201.089569	0.893548	0.054489	243
7454.721339	201.826004	0.902759	0.055104	245
7456.740549	202.814606	0.908370	0.054327	247
7458.763082	203.465683	0.912868	0.051315	249
7460.793987	203.227417	0.925223	0.047707	251
7462.830710	201.988190	0.944009	0.045489	253
7464.869175	200.464081	0.960929	0.046182	255
7466.904417	199.582214	0.976178	0.049473	1
7468.928567	199.920441	0.990847	0.052742	3
7470.944693	201.236435	1.000180	0.053610	5
7472.961346	202.519043	0.999602	0.052435	7
7474.983454	203.142593	1.000677	0.050347	9
7477.011237	203.075928	1.008607	0.048162	11
7479.041384	202.812042	1.019477	0.046987	13
7481.071058	202.538940	1.032979	0.046385	15
7483.099755	202.344482	1.044980	0.046427	17
7485.127467	202.279648	1.055105	0.046797	19
7487.153325	202.216080	1.062904	0.046655	21
7489.177880	202.204483	1.068619	0.046641	23
7491.202358	202.072037	1.071177	0.046946	25
7493.228162	201.856277	1.073269	0.048335	27
7495.256161	201.656815	1.078071	0.050576	29
7497.287656	201.594528	1.088724	0.052860	31
7499.322453	201.528748	1.105150	0.053997	33
7501.359898	201.486145	1.119921	0.053716	35
7503.390135	201.604095	1.134317	0.051415	37
7505.412345	201.741959	1.148389	0.048743	39
7507.430533	201.779510	1.155085	0.047002	41
7509.448789	201.762466	1.153638	0.047152	43
7511.469786	201.819611	1.147501	0.048244	45
7513.494971	201.931747	1.141754	0.049841	47
7515.521706	202.031601	1.142691	0.051358	49
7517.549729	202.057953	1.148919	0.052483	51
7519.578115	202.041214	1.157139	0.053163	53
7521.605699	202.085846	1.164828	0.054139	55
7523.631860	202.111649	1.172728	0.054448	57
7525.658025	202.220322	1.178013	0.054680	59
7527.683094	202.445663	1.180925	0.054760	61
7529.707545	202.704605	1.184874	0.054783	63
7531.732756	203.012131	1.187070	0.054383	65
7533.758944	203.219208	1.190667	0.053475	67
7535.785742	203.158463	1.210278	0.053210	69
7537.814467	202.817078	1.210958	0.052394	71
7539.845768	202.162430	1.211884	0.052060	73
7541.879191	201.342667	1.210360	0.052443	75
7543.910291	200.616241	1.206512	0.054015	77
7545.937520	200.277161	1.203937	0.056881	79
7547.960350	200.524704	1.204981	0.059531	81
7549.979685	201.321365	1.206595	0.061332	83
7551.998302	202.236877	1.204145	0.062193	85
7554.018107	202.978165	1.198038	0.062134	87
7556.040080	203.337387	1.193652	0.061676	89
7558.063838	203.449417	1.189879	0.061669	91
7560.088635	203.400711	1.188376	0.061712	93
7562.113940	203.344284	1.186624	0.062003	95
7564.139360	203.228149	1.183954	0.062420	97
7566.164700	203.125381	1.181825	0.063272	99
7568.190410	202.909866	1.179210	0.064532	101
7570.217728	202.689072	1.176775	0.066052	103
7572.247111	202.520370	1.175543	0.067411	105
7574.278628	202.304260	1.174145	0.068530	107
7576.311042	202.124573	1.172719	0.068880	109
7578.341149	202.042191	1.172024	0.068412	111
7580.367903	202.041519	1.173236	0.067068	113
7582.390955	202.131973	1.178327	0.065434	115
7584.412431	202.309830	1.182655	0.064452	117
7586.432543	202.575653	1.183349	0.064283	119
7588.452936	202.893494	1.179713	0.064726	121
7590.474102	203.183258	1.173645	0.065777	123
7592.496568	203.351990	1.168011	0.066606	125
7594.520051	203.570602	1.162726	0.068055	127
7596.544836	203.685120	1.159563	0.068878	129
7598.569181	203.876831	1.156854	0.070067	131
7600.594486	203.998306	1.153992	0.070782	133
7602.619873	204.121109	1.153373	0.071517	135
7604.645281	204.241486	1.152126	0.071612	137
7606.670822	204.310425	1.151099	0.071381	139
7608.697556	204.346680	1.151307	0.071521	141
7610.724508	204.222488	1.151640	0.071202	143
7612.752372	203.977402	1.150618	0.070787	145
