time (s)	magX	magY	magZ
8845.987701	487.194031	62.096436	-1123.274048
8845.990976	488.012268	68.700760	-1116.202148
8845.994283	491.343689	75.421974	-1110.708374
8845.997579	493.272400	82.318527	-1101.941528
8846.000878	495.493286	89.039742	-1096.330688
8846.004190	496.954407	96.053185	-1087.914673
8846.007617	500.227356	102.715950	-1079.206299
8846.010907	502.156067	108.852715	-1071.082397
8846.014238	504.552307	114.054352	-1062.374023
8846.017565	505.838074	120.015778	-1054.542358
8846.021319	507.883728	125.100533	-1046.067749
8846.024975	509.520203	130.126831	-1037.359497
8846.028333	512.910034	133.984222	-1029.878418
8846.031650	514.838684	138.542953	-1019.942749
8846.034975	517.585632	142.926361	-1012.870850
8846.038308	519.631226	146.257751	-1005.506775
8846.041657	520.332581	148.303329	-998.902405
8846.044981	523.488586	150.874924	-992.356567
8846.048306	524.891296	153.388077	-985.986023
8846.051642	526.469299	155.901230	-980.024597
8846.054977	528.573364	157.654587	-973.537109
8846.058320	529.976074	159.232620	-968.335510
8846.061647	531.203369	160.985977	-962.549377
8846.064975	532.547668	162.037994	-957.581604
8846.068309	533.424316	162.856216	-953.548767
8846.071667	534.184082	164.434250	-950.568054
8846.074975	535.236084	165.310928	-945.424927
8846.078306	535.002380	167.005844	-940.573914
8846.082066	534.184082	168.057861	-937.885437
8846.085404	534.534790	169.168320	-933.151428
8846.088732	534.300964	171.213913	-929.878479
8846.092062	534.768555	172.558151	-927.306885
8846.095428	533.658081	175.305084	-922.981873
8846.098749	534.125671	177.467560	-920.527222
8846.102090	533.015198	180.272934	-916.436096
8846.105463	532.255371	183.312088	-912.870850
8846.108729	531.787842	186.059036	-910.357727
8846.112057	530.560486	189.507309	-905.214478
8846.115413	529.800659	193.130905	-902.759827
8846.119150	529.450012	197.572769	-897.324402
8846.122502	528.573364	201.488602	-893.759216
8846.125836	528.047363	205.053772	-889.375854
8846.129232	527.930420	209.261841	-883.589722
8846.132577	527.229126	213.119232	-878.855652
8846.135884	526.586243	216.450607	-873.946228
8846.139157	525.066650	220.308014	-867.283508
8846.142474	525.417297	224.048523	-862.315613
8846.145808	524.540649	227.087662	-857.523132
8846.149166	524.189941	230.419037	-851.444763
8846.152604	523.371704	233.165985	-846.067749
8846.155884	523.488586	235.796021	-841.450623
8846.159241	523.547058	238.426071	-834.963196
8846.162906	523.663940	240.646988	-829.527771
8846.166285	523.780823	242.283463	-826.021057
8846.169663	524.716003	243.803055	-821.345459
8846.172988	523.839233	245.439499	-818.014038
8846.176347	524.774414	246.666855	-814.741089
8846.179645	524.073059	247.426651	-811.935730
8846.183011	524.716003	247.426651	-807.552307
8846.186397	525.125061	247.835754	-805.272949
8846.189758	525.008179	248.478683	-802.993591
8846.193049	524.423706	248.712448	-801.240234
8846.196429	524.949707	248.244888	-800.772705
8846.199699	524.482178	247.952652	-799.077759
8846.202969	525.534180	248.244888	-798.317993
8846.206731	524.248413	247.835754	-797.733521
8846.210065	524.891296	247.543549	-797.616638
8846.213369	524.832825	248.946243	-797.207520
8846.216665	524.248413	248.654007	-797.090576
8846.219995	522.553467	249.238464	-796.739929
8846.223289	521.968994	250.056702	-797.149048
8846.226639	520.800171	251.926941	-796.856873
8846.230388	520.390991	252.978973	-796.389282
8846.233339	519.105225	254.323196	-798.610168
8846.237080	517.644043	255.667450	-798.668640
8846.240440	516.475159	258.414398	-797.675049
8846.243718	515.189331	259.524841	-797.967285
8846.247006	513.377563	261.979553	-796.623047
8846.250284	510.630615	263.908264	-796.330811
8846.253576	509.344849	266.655182	-795.746399
8846.256956	507.825256	269.343658	-793.934570
8846.260321	506.422546	271.155457	-792.531860
8846.264033	505.019897	274.369965	-791.772095
8846.267308	503.675659	276.649353	-789.843384
8846.270646	502.272949	279.337830	-788.440735
8846.273921	501.337769	282.026306	-785.459961
8846.277255	500.636475	283.721222	-784.641785
8846.280536	499.526001	286.468170	-781.661072
8846.283842	499.409119	287.578613	-781.836365
8846.287195	498.064880	289.799530	-779.966125
8846.290930	498.123352	290.559326	-778.446533
8846.294328	497.772644	291.962006	-776.693176
8846.297656	496.369934	293.306274	-775.056702
8846.300942	497.305115	293.773834	-774.121582
8846.304214	497.597290	294.124512	-772.952637
8846.307538	497.363525	294.533630	-773.829407
8846.310883	497.480408	294.942719	-773.186462
8846.314245	496.603760	294.708954	-772.192871
8846.317576	496.895935	294.241394	-774.413818
8846.320920	496.954407	294.650513	-774.998230
8846.324226	496.779114	295.176514	-775.582703
8846.327598	497.597290	294.650513	-778.154297
8846.331391	497.188232	293.832275	-780.609009
8846.334947	497.129761	293.306274	-782.596191
8846.338276	496.720642	292.897156	-784.992432
8846.341611	496.545288	292.078918	-789.258911
8846.344947	495.551697	292.312683	-792.122742
8846.348277	493.973694	292.955597	-795.161926
8846.351615	493.915222	293.130951	-798.843994
8846.354966	492.395691	293.247803	-802.701355
8846.358292	491.635864	294.358307	-806.734070
8846.361613	489.940979	294.650513	-809.071899
8846.364945	488.830505	295.410278	-813.455322
8846.368282	486.025146	295.877869	-817.488037
8846.371606	484.213318	297.864990	-821.871460
8846.374946	481.641724	298.624786	-824.910583
8846.378281	480.005249	300.319702	-828.125122
8846.381608	477.959656	301.547058	-831.222717
8846.384944	477.083008	303.592651	-833.502075
8846.388277	474.219177	304.878448	-836.950378
8846.391610	472.115173	307.917603	-839.580383
8846.394944	470.361755	309.495636	-842.151978
8846.398273	468.433044	312.008789	-844.782043
8846.402078	467.556396	312.943909	-846.476929
8846.405388	465.218567	314.463501	-847.295166
8846.408731	463.757446	316.625977	-848.697815
8846.412039	462.588501	318.262421	-849.516052
8846.415361	461.828735	319.139130	-852.087646
8846.418699	460.893616	320.775574	-853.256592
8846.422033	460.016968	321.593811	-855.652893
8846.425389	459.081848	321.827606	-856.997070
8846.428697	457.854492	322.061401	-859.451843
8846.432029	457.912903	322.938049	-861.438904
8846.435381	456.568726	323.522522	-863.016968
8846.438718	456.627136	322.704285	-866.932861
8846.442062	456.451782	322.236725	-869.445984
8846.445412	455.399780	321.710724	-874.413818
8846.449124	455.750427	321.126251	-878.680298
8846.452466	454.289307	320.366455	-883.765076
8846.455782	454.347717	318.554657	-887.856262
8846.459140	452.886597	317.970184	-892.882507
8846.462476	452.711304	316.742859	-898.025757
8846.465866	451.308594	315.164825	-904.688538
8846.469201	449.672119	313.762146	-910.240784
8846.472455	448.094116	313.060791	-917.546509
8846.475781	446.106934	311.950348	-924.150818
8846.479116	444.879578	310.898315	-930.696655
8846.482479	441.139099	309.846313	-938.353027
8846.486301	438.275269	308.969635	-945.132690
8846.489234	435.469910	308.326721	-952.555237
8846.492956	432.372314	308.151367	-960.153137
8846.496246	428.748657	307.566956	-965.179382
8846.499578	424.540588	307.040924	-973.770874
